PROJECT,TASK_NAME,START_DATE,END_DATE,STATUS,ASSIGNED_TO,COST,BUDGET
ACME Web Express Configuration,Identify server requirements,1/26/2017,1/27/2017,Closed,John Watson,200,500
ACME Web Express Configuration,Determine Web listener configuration(s),1/28/2017,1/28/2017,Closed,James Cassidy,600,500
ACME Web Express Configuration,Run installation,1/31/2017,1/31/2017,Closed,James Cassidy,200,200
ACME Web Express Configuration,Create pilot workspace,2/2/2017,2/2/2017,Closed,John Watson,100,100
ACME Web Express Configuration,Specify security authentication scheme(s),2/7/2017,2/7/2017,Open,John Watson,200,300
ACME Web Express Configuration,Configure Workspace provisioning,2/8/2017,2/8/2017,Open,John Watson,200,100
ACME Web Express Configuration,"Select servers for Development, Test, Production",2/11/2017,2/13/2017,Open,James Cassidy,200,600
Bug Tracker,Document quality assurance procedures,12/12/2016,12/15/2016,Closed,Myra Sutcliff,3000,2000
Bug Tracker,Review automated testing tools,12/16/2016,12/18/2016,Closed,Myra Sutcliff,750,1500
Bug Tracker,Implement bug tracking software,12/31/2016,12/31/2016,Closed,Myra Sutcliff,100,100
Bug Tracker,Train developers on tracking bugs,1/7/2017,1/12/2017,On-Hold,Myra Sutcliff,1000,2000
Bug Tracker,Measure effectiveness of improved QA,1/19/2017,1/19/2017,Pending,Myra Sutcliff,0,500
Convert Spreadsheets,Collect mission-critical spreadsheets,1/25/2017,1/26/2017,Closed,Pam King,2500,4000
Convert Spreadsheets,Lock spreadsheets,1/28/2017,1/28/2017,Closed,Pam King,300,800
Convert Spreadsheets,Create ACME Web Express applications from spreadsheets,2/5/2017,2/9/2017,Open,Pam King,6000,10000
Convert Spreadsheets,Send links to previous spreadsheet owners,2/11/2017,2/11/2017,Pending,Pam King,0,500
Discussion Forum,Identify owners,1/1/2017,1/1/2017,Closed,Hank Davis,250,300
Discussion Forum,Install ACME Web Express application on internet server,1/7/2017,1/7/2017,Closed,Hank Davis,100,100
Discussion Forum,Monitor participation,2/6/2017,2/7/2017,Open,Hank Davis,450,500
Email Integration,Complete plan,1/18/2017,1/19/2017,Closed,Bob Nile,3000,1500
Email Integration,Check software licenses,1/21/2017,1/21/2017,Closed,Bob Nile,200,200
Email Integration,Get RFPs for new server,2/4/2017,2/5/2017,Closed,Bob Nile,2000,1000
Email Integration,Purchase backup server,2/21/2017,2/23/2017,Pending,Bob Nile,0,3000
Employee Satisfaction Survey,Complete questionnaire,1/11/2017,1/12/2017,Closed,Irene Jones,1200,800
Employee Satisfaction Survey,Review with legal,1/13/2017,1/13/2017,On-Hold,Irene Jones,200,400
Employee Satisfaction Survey,Plan rollout schedule,1/14/2017,1/14/2017,On-Hold,Irene Jones,0,750
